2025-08-06_06-05 - Total: 471, Unique: 471, Duration: 0:00:56.111261
2025-08-06_06-12 - Total: 498, Unique: 498, Duration: 0:01:10.809085
2025-08-06_06-32 - Total: 1058, Unique: 1058, Duration: 0:01:00.482666
2025-08-07_04-08 - Total: 1090, Unique: 1090, Duration: 0:01:18.888958
2025-08-08_04-07 - Total: 1102, Unique: 1102, Duration: 0:01:01.571348
2025-08-09_03-53 - Total: 1121, Unique: 1121, Duration: 0:01:01.323257
2025-08-10_04-06 - Total: 1127, Unique: 1127, Duration: 0:01:05.843540
2025-08-11_04-07 - Total: 1135, Unique: 1135, Duration: 0:01:23.647966
2025-08-12_03-51 - Total: 1138, Unique: 1138, Duration: 0:01:06.026686
2025-08-13_03-53 - Total: 1092, Unique: 1092, Duration: 0:01:23.752556
2025-08-14_03-54 - Total: 1077, Unique: 1077, Duration: 0:01:23.983229
2025-08-15_03-54 - Total: 620, Unique: 619, Duration: 0:01:00.173974
2025-08-16_03-48 - Total: 608, Unique: 608, Duration: 0:01:00.293854
